name|price|description|category|rating|source
CANON CRG CL-561XL (Gelb, Magenta, Cyan, 1 Stück)|30.95|Mit der CANON CRG CL-561XL Tintenpatrone in Gelb, Cyan und Magenta (1 Stück) erhalten Sie ein richtiges Multitalent: Sie ist perfekt sowohl für Fotos, als auch für den Druck von Dokumenten.Mit dieser Patrone können Sie ein ganzes Fotoalbum voll Bilder drucken! Sie reicht nämlich dank ihrer XL-Füllmenge von 12 ml für 300 bedruckte Seiten aus. Und wenn auch Sie Ihren Drucker eher für das Erstellen von Dokumente nutzen, sparen Sie mit dieser Tintenpatrone den Kauf eines zweiten Produkts. Sie eignet sich nämlich hervorragend für den Druck von Unterlagen, aber auch von Ihren Lieblingsbildern.|Computer & Gaming||interdiscount
CANON PIXMA MG5750 (Gelb, Schwarz, Magenta, Cyan, Multipack)|71.95|Original Verbrauchsmaterialien Original Canon Verbrauchsmaterialien sind einfach besser – sie sorgen dafür, dass dein Canon Drucker immer beste Ergebnisse liefert und bieten dabei ein gutes Preis-Leistungsverhältnis.|Computer & Gaming||interdiscount
CANON PGI-1500XLBK (Schwarz, 1 Stück)|28.9|DRHD Pigmenttinten sorgen bei jedem Druck für professionelle Geschäftsdokumente in hoher Qualität. Die hochdichte Schwarztinte liefert gestochen scharfen Text mit langer Lebensdauer und hoher Haltbarkeit. Die XL-Schwarztinte (34,7 ml) mit hoher Reichweite druckt bis zu 1.200 A4-Dokumente.|Computer & Gaming||interdiscount
CANON PG-545 (Schwarz, 1 Stück)|26.95|Mit der CANON PG 545 Patrone erhalten Sie qualitativ hochwertige Drucke Ihrer Dokumente und Bilder, die Sie für die Arbeit oder im privaten Bereich brauchen.Die originale CANON Patrone verspricht Ihnen die beste Qualität von HP. Drucken Sie Bilder mit einmalig klaren und lebendigen Farben, sodass Sie Ihre schönsten Momente fast genauso schön zeigen und mit Ihrer Familie und Freunden teilen können. Zusätzlich zu der hohen Qualität können Sie Bilder auch mit einer hohen Geschwindigkeit drucken, ohne dass Sie mit einem schlechteren Ergebnis rechnen müssen. Durch die hohe Stabilität der Farben haben Sie noch lange etwas von Ihren Bildern.|Computer & Gaming||interdiscount
CANON PG-540L x2/CL-541XL (Multipack, Gelb, Schwarz, Magenta, Cyan)|59.95|Original Verbrauchsmaterialien Original Canon Verbrauchsmaterialien sind einfach besser – sie sorgen dafür, dass dein Canon Drucker immer beste Ergebnisse liefert und bieten dabei ein gutes Preis-Leistungsverhältnis.|Computer & Gaming||interdiscount
CANON CLI-581 (Cyan, 1 Stück)|19.95|Druckleistung Seiten: 256 ×, Toner/Tinte Farbe: Cyan, Originalprodukt: Ja, Rainbow Kit: Nein|Computer & Gaming||interdiscount
CANON PG-510/CL-511 (Gelb, Schwarz, Magenta, Cyan, Duopack)|40.95|Das Multipack CANON PG-510/CL-511 beinhaltet zwei Patronen mit jeweils 9 ml und ist der perfekte Begleiter für Ihren CANON Drucker Zuhause und im Büro.Die All-in-One Patronen zeichnen sich dabei durch eine hohe Druckqualität aus und dass bei jeder Patrone. Insbesondere der Druck von Bildern und Grafiken wird mit dieser Patrone zu einer wahren Meisterleistung. Auch Ihre Dokumente können sich mit diesem Produkt sehen lassen. Dank der umweltfreundlichen Herstellung können die Patronen im Hausmüll entsorgt oder aber zum kostenlosen Recycling zurückgegeben werden. Ihr Beitrag für unsere Umwelt.|Computer & Gaming||interdiscount
CANON PGI-580XL (Schwarz, 1 Stück)|26.95|Dieser 18,5 ml Pigmentschwarz-Tintentank mit hoher Reichweite wird zum Druck von hochwertigen Dokumenten auf Normalpapier verwendet und sorgt für ein gestochen scharfes Schriftbild.|Computer & Gaming||interdiscount
CANON CLI-581YXXL (Gelb, 1 Stück)|29.95|Durch die grosse Ergiebigkeit dieser CANON CLI-581YXXL Tintenpatrone in Gelb (1 Stück) kann man sorglos eine hohe Anzahl an Unterlagen drucken.Bei einem Inhalt von 11.7 ml Tinte sorgt diese Patrone dafür, dass über 800 Seiten problemlos ausgedruckt werden können. Somit muss man sich lange Zeit keine Gedanken über einen Neukauf machen. Ausserdem lässt sich vermeiden, aufgrund einer leeren Patrone das gewünschte Dokument nicht in Farbe ausdrucken zu können. Denn dieses Problem tritt meist dann auf, wenn man besonders dringend drucken muss. Die Patrone sorgt für einen klaren und deutlichen Gelbton.|Computer & Gaming||interdiscount
CANON Zoemini 2 (ZINK, 313 x 500 dpi)|109.95|Mit dem Canon Zoemini 2 Mini-Drucker kannst du jederzeit und überall deine Schnappschüsse ausdrucken. Dieser kompakte und leichte mobile Fotodrucker macht aus deinen Smartphone-Aufnahmen reissfeste und wasserabweisende Foto-Sticker, die du mit anderen teilen kannst. Mit der Canon Mini Print App kannst du die Fotos vor dem Drucken personalisieren und kreativ gestalten. Die Bluetooth®-Technologie und der tintenfreie ZINK™ Druck machen die Bedienung ganz einfach. Und in nur 50 Minuten ist der Akku über USB-C wieder aufgeladen.|Computer & Gaming||interdiscount
